"user","name","party","blok","variable","value"
"annette_lind","Annette Lind","A","red","activity_t10",10
"FlemmingMM","Flemming Møller Mortensen","A","red","activity_t10",10
"Henrikm86712011","Henrik møller","A","red","activity_t10",10
"Paulin_Anne","Anne Paulin","A","red","activity_t10",10
"Jesper_Pet","Jesper Petersen","A","red","activity_t10",10
"RasmusPrehn","Rasmus Prehn","A","red","activity_t10",10
"lars_aslan","Lars Aslan","A","red","activity_t10",10
"RavnTroels","Troels Ravn","A","red","activity_t10",10
"KasperRoug","Kasper Roug","A","red","activity_t10",10
"JulieSkovsby","Julie Skovsby","A","red","activity_t10",10
"RStoklund","Rasmus Stoklund","A","red","activity_t10",10
"birgitte_vind","Birgitte Vind","A","red","activity_t10",10
"NWammen","Nicolai Wammen","A","red","activity_t10",10
"LeaWermelin","Lea Wermelin","A","red","activity_t10",10
"PiaOlsen","Pia Olsen Dyhr","F","red","activity_t10",10
"khoenge","Karsten Hønge","F","red","activity_t10",10
"jacobmark_sf","Jacob Mark","F","red","activity_t10",10
"LisbethBNielsen","Lisbeth Bech-Nielsen","F","red","activity_t10",10
"TrineTorp","Trine Schøning Torp","F","red","activity_t10",10
"KirstenNormann","Kirsten Normann","F","red","activity_t10",10
"MF_K_Lorentzen","Karina Lorentzen D.","F","red","activity_t10",10
"signe_munk","Signe Munk","F","red","activity_t10",10
"Carl__Valentin","Carl Valentin","F","red","activity_t10",10
"charlottebroman","Charlotte Mølbæk","F","red","activity_t10",10
"Halime9Oguz","Halime Oguz","F","red","activity_t10",10
"AnneValentina","Anne Valentina Berthelsen","F","red","activity_t10",10
"AstridCaroee","Astrid Carøe","F","red","activity_t10",10
"rasmusnordqvist","rasmus nordqvist 🏳️‍🌈","F","red","activity_t10",10
"JakobEllemann","Jakob Ellemann-Jensen","V","blue","activity_t10",10
"Martin_Geertsen","Martin Geertsen","V","blue","activity_t10",10
"JanEJoergensen","Jan E. Jørgensen","V","blue","activity_t10",10
"sophieloehde","Sophie Løhde","V","blue","activity_t10",10
"AnneStergaa","Anne Honoré Østergaard","V","blue","activity_t10",10
"AnniMatthiesen","Anni Matthiesen","V","blue","activity_t10",10
"BHaarder","Bertel Haarder","V","blue","activity_t10",10
"CKissmeyer","Carsten Kissmeyer","V","blue","activity_t10",10
"ChristofferMels","Christoffer Melson","V","blue","activity_t10",10
"EllenTraneNorby","Ellen Trane Nørby","V","blue","activity_t10",10
"ErlingBonnesen","Erling Bonnesen","V","blue","activity_t10",10
"EvaKjerHansen","Eva Kjer Hansen","V","blue","activity_t10",10
"fatmaoektem","Fatma Øktem","V","blue","activity_t10",10
"HansAndersenV","Hans Andersen","V","blue","activity_t10",10
"HaChrSchmidt","Hans Christian Schmidt","V","blue","activity_t10",2
"bankHeidi","Heidi Bank","V","blue","activity_t10",10
"jacobjensenMF","Jacob Jensen","V","blue","activity_t10",10
"JaneHeitmann","Jane Heitmann","V","blue","activity_t10",10
"EllemannKaren","Karen Ellemann","V","blue","activity_t10",10
"LauritzenK","Karsten Lauritzen","V","blue","activity_t10",10
"KD_Mikkelsen","Kenneth Mikkelsen","V","blue","activity_t10",10
"kimvalentinDK","Kim Valentin","V","blue","activity_t10",10
"kplorentzen","Kr. Pihl Lorentzen","V","blue","activity_t10",10
"larsclilleholt","Lars Chr. Lilleholt","V","blue","activity_t10",10
"LouiseElholm","Louise Schack Elholm","V","blue","activity_t10",10
"madsfuglede","Mads Fuglede","V","blue","activity_t10",10
"marie_bjerre","Marie Bjerre","V","blue","activity_t10",10
"MarkGrossmannV","Mark Grossmann","V","blue","activity_t10",10
"MarleneAmbo","Marlene Ambo-Rasmussen","V","blue","activity_t10",10
"michaelaastrup","Michael Aastrup Jensen","V","blue","activity_t10",10
"MortenDahlin","Morten Dahlin","V","blue","activity_t10",10
"PeterJuelJensen","Peter Juel Jensen","V","blue","activity_t10",10
"Sten_Knuth","Stén Knuth, Idrætsordfører Venstre","V","blue","activity_t10",10
"ThDanielsen","Thomas Danielsen","V","blue","activity_t10",10
"Torstenschack","Torsten Schack","V","blue","activity_t10",10
"troelslundp","Troels Lund Poulsen","V","blue","activity_t10",10
"Ulla_Tornaes","Ulla Tørnæs","V","blue","activity_t10",10
"larsloekke","Lars Løkke Rasmussen","MF","blue","activity_t10",10
"SorenPape","Søren Pape Poulsen","C","blue","likes_t10",2941
"metteabildgaard","Mette Abildgaard","C","blue","likes_t10",120
"RasmusJarlov","Rasmus Jarlov","C","blue","likes_t10",42
"JuulMona","Mona Juul","C","blue","likes_t10",101
"PerLarsenC","Per Larsen","C","blue","likes_t10",317
"_MaiMercado","Mai Mercado","C","blue","likes_t10",152
"BirgitteBergman","Birgitte Bergman","C","blue","likes_t10",320
"brittbager","Britt Bager","C","blue","likes_t10",22
"Ammitzboell_K","KatarinaAmmitzboell","C","blue","likes_t10",73
"Kristianthdahl","Kristian Thulesen Dahl","O","blue","likes_t10",1062
"MrMesserschmidt","Morten Messerschmidt","O","blue","likes_t10",254
"mfMorten","Morten Bødskov","A","red","likes_t10",245
"espersendf","Søren Espersen","O","blue","likes_t10",39
"skaarup_df","Peter Skaarup","O","blue","likes_t10",402
"Pia_Kjaersgaard","Pia Kjærsgaard","O","blue","likes_t10",190
"AdsbolAdsbl","Karina Adsbøl","O","blue","likes_t10",56
"LiseBech","Lise Bech 🇩🇰","O","blue","likes_t10",29
"BentGsted","Bent Bøgsted","O","blue","likes_t10",39
"ReneChr67108814","Rene’ Christensen","O","blue","likes_t10",320
"JThulesen","J H Thulesen Dahl","O","blue","likes_t10",81
"flydtkjaer","Dennis Flydtkjær","O","blue","likes_t10",107
"MarieKrarup","Marie Krarup","O","blue","likes_t10",82
"Hans_Kr_Skibby","Hans Kristian Skibby","O","blue","likes_t10",29
"MaiVilladsen","Mai Villadsen","EL","red","likes_t10",677
"SorenEggeRasmus","Søren Egge Rasmussen","EL","red","likes_t10",174
"VictoriaV_EL","Victoria Velásquez","EL","red","likes_t10",99
"EvaFlyvholm","Eva Flyvholm","EL","red","likes_t10",634
"pederhvelplund","Peder Hvelplund","EL","red","likes_t10",358
"ChristianJuhl2","Christian Juhl","EL","red","likes_t10",20
"RuneLundEL","Rune Lund","EL","red","likes_t10",28
"PSkipperEL","Pernille Skipper","EL","red","likes_t10",93
"JakobSoelvhoej","Jakob Sølvhøj","EL","red","likes_t10",260
"RosaLundEl","Rosa Lund","EL","red","likes_t10",781
"jonasholmdk","Jonas Holm 🇺🇦","Q","neutral","likes_t10",37
"jonasholmdk","Jonas Holm","Q","neutral","likes_t10",37
"AlexVanopslagh","Alex Vanopslagh","I","blue","likes_t10",591
"SociologenHD","Henrik Dahl","I","blue","likes_t10",965
"olebirkolesen","Ole Birk Olesen","I","blue","likes_t10",278
"LBMathiesen","Lars Boje Mathiesen","D","blue","likes_t10",589
"ThiesenMette","Mette Thiesen","D","blue","likes_t10",458
"PernilleVermund","Pernille Vermund","D","blue","likes_t10",1314
"peter_seier","Peter Seier Christensen","D","blue","likes_t10",301
"FrkCallesen","Anne Sophie Callesen","B","red","likes_t10",152
"mariannejelved","Marianne Jelved","B","red","likes_t10",48
"SamiraNawa","Samira Nawa","B","red","likes_t10",365
"rohde_jens","Jens Rohde","B","red","likes_t10",546
"kronborgsusan","Susan Kronborg","B","red","likes_t10",21
"martinlidegaard","Martin Lidegaard","B","red","likes_t10",269
"KathrineOlldag","Kathrine Olldag","B","red","likes_t10",6
"sofiecn","Sofie Carsten Nielsen","B","red","likes_t10",209
"a_steenberg","Andreas Steenberg","B","red","likes_t10",99
"rvthorholm","Christina Thorholm","B","red","likes_t10",10
"KatrineRobsoe","Katrine Robsøe","B","red","likes_t10",91
"rasmushelveg","Rasmus Helveg","B","red","likes_t10",27
"stinuslindgreen","Stinus Lindgreen","B","red","likes_t10",17
"zeniastampe","Zenia Stampe","B","red","likes_t10",100
"LotteRod","Lotte Rod","B","red","likes_t10",60
"IdaAuken","Ida Auken","A","red","likes_t10",76
"Trinebramsen","Trine Bramsen","A","red","likes_t10",23
"BjBrandenborg","Bjørn Brandenborg","A","red","likes_t10",22
"bressendorff","Brian Bressendorff","A","red","likes_t10",17
"JeppeBruus","Jeppe Bruus","A","red","likes_t10",39
"KaareDybvad","Kaare Dybvad","A","red","likes_t10",22
"BennyEngelbrech","Benny Engelbrecht","A","red","likes_t10",139
"CamFabricius","Camilla Fabricius","A","red","likes_t10",46
"MetteGjerskov","Mette Gjerskov","A","red","likes_t10",268
"AlexanderGrandt","Alexander Grandt","A","red","likes_t10",73
"HavOrla","Orla Hav","A","red","likes_t10",23
"PHummelgaard","Peter Hummelgaard","A","red","likes_t10",48
"MFThomasJensen","Thomas Jensen","A","red","likes_t10",26
"LahnLeif","Leif Lahn Jensen","A","red","likes_t10",107
"Jens_Joel","Jens Joel","A","red","likes_t10",33
"janjohansen16",NA,"A","red","likes_t10",NA
"DanJoergensen","Dan Jørgensen","A","red","likes_t10",31
"SandKjaer","Kasper Sand Kjær","A","red","likes_t10",210
"AndersKronborg","Anders Kronborg","A","red","likes_t10",101
"rasmushorn","Rasmus Horn Langhoff","A","red","likes_t10",14
"MalteLarsen","Malte Larsen","A","red","likes_t10",0
"LarssonTanja","Tanja Larsson","A","red","likes_t10",13
"Heunicke","Magnus Heunicke","A","red","likes_t10",626
"RosenkrantzT","Rosenkrantz-Theil","A","red","likes_t10",23
"simonkollerup","Simon Kollerup","A","red","likes_t10",17
"MogensJensenS","Mogens Jensen","A","red","likes_t10",64
"AneHalsboe","Ane Halsboe","A","red","likes_t10",0
"RabjergMadsen","Chr Rabjerg Madsen","A","red","likes_t10",233
"mattiastesfaye","Mattias Tesfaye","A","red","likes_t10",215
"Astridkrag","Astrid Krag","A","red","likes_t10",64
"Bjarne_Laustsen",NA,"A","red","likes_t10",NA
"annette_lind","Annette Lind","A","red","likes_t10",48
"FlemmingMM","Flemming Møller Mortensen","A","red","likes_t10",49
"Henrikm86712011","Henrik møller","A","red","likes_t10",168
"Paulin_Anne","Anne Paulin","A","red","likes_t10",14
"Jesper_Pet","Jesper Petersen","A","red","likes_t10",69
"RasmusPrehn","Rasmus Prehn","A","red","likes_t10",199
"lars_aslan","Lars Aslan","A","red","likes_t10",238
"RavnTroels","Troels Ravn","A","red","likes_t10",8
"KasperRoug","Kasper Roug","A","red","likes_t10",66
"JulieSkovsby","Julie Skovsby","A","red","likes_t10",0
"RStoklund","Rasmus Stoklund","A","red","likes_t10",513
"birgitte_vind","Birgitte Vind","A","red","likes_t10",33
"NWammen","Nicolai Wammen","A","red","likes_t10",1215
"LeaWermelin","Lea Wermelin","A","red","likes_t10",21
"PiaOlsen","Pia Olsen Dyhr","F","red","likes_t10",9
"khoenge","Karsten Hønge","F","red","likes_t10",8
"jacobmark_sf","Jacob Mark","F","red","likes_t10",1633
"LisbethBNielsen","Lisbeth Bech-Nielsen","F","red","likes_t10",54
"TrineTorp","Trine Schøning Torp","F","red","likes_t10",8
"KirstenNormann","Kirsten Normann","F","red","likes_t10",22
"MF_K_Lorentzen","Karina Lorentzen D.","F","red","likes_t10",30
"signe_munk","Signe Munk","F","red","likes_t10",109
"Carl__Valentin","Carl Valentin","F","red","likes_t10",374
"charlottebroman","Charlotte Mølbæk","F","red","likes_t10",61
"Halime9Oguz","Halime Oguz","F","red","likes_t10",15
"AnneValentina","Anne Valentina Berthelsen","F","red","likes_t10",12
"AstridCaroee","Astrid Carøe","F","red","likes_t10",331
"rasmusnordqvist","rasmus nordqvist 🏳️‍🌈","F","red","likes_t10",7
"JakobEllemann","Jakob Ellemann-Jensen","V","blue","likes_t10",3188
"Martin_Geertsen","Martin Geertsen","V","blue","likes_t10",267
"JanEJoergensen","Jan E. Jørgensen","V","blue","likes_t10",398
"sophieloehde","Sophie Løhde","V","blue","likes_t10",354
"AnneStergaa","Anne Honoré Østergaard","V","blue","likes_t10",0
"AnniMatthiesen","Anni Matthiesen","V","blue","likes_t10",2
"BHaarder","Bertel Haarder","V","blue","likes_t10",606
"CKissmeyer","Carsten Kissmeyer","V","blue","likes_t10",26
"ChristofferMels","Christoffer Melson","V","blue","likes_t10",29
"EllenTraneNorby","Ellen Trane Nørby","V","blue","likes_t10",13
"ErlingBonnesen","Erling Bonnesen","V","blue","likes_t10",40
"EvaKjerHansen","Eva Kjer Hansen","V","blue","likes_t10",48
"fatmaoektem","Fatma Øktem","V","blue","likes_t10",5
"HansAndersenV","Hans Andersen","V","blue","likes_t10",268
"HaChrSchmidt","Hans Christian Schmidt","V","blue","likes_t10",217
"bankHeidi","Heidi Bank","V","blue","likes_t10",6
"jacobjensenMF","Jacob Jensen","V","blue","likes_t10",39
"JaneHeitmann","Jane Heitmann","V","blue","likes_t10",78
"EllemannKaren","Karen Ellemann","V","blue","likes_t10",24
"LauritzenK","Karsten Lauritzen","V","blue","likes_t10",150
"KD_Mikkelsen","Kenneth Mikkelsen","V","blue","likes_t10",48
"kimvalentinDK","Kim Valentin","V","blue","likes_t10",26
"kplorentzen","Kr. Pihl Lorentzen","V","blue","likes_t10",96
"larsclilleholt","Lars Chr. Lilleholt","V","blue","likes_t10",272
"LouiseElholm","Louise Schack Elholm","V","blue","likes_t10",103
"madsfuglede","Mads Fuglede","V","blue","likes_t10",145
"marie_bjerre","Marie Bjerre","V","blue","likes_t10",496
"MarkGrossmannV","Mark Grossmann","V","blue","likes_t10",6
